Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
c1wk-2505-l5ze,萬華莊家班麻油雞 (永和永貞店),2月2日 週日 下午10:02,1,人氣麻油綜合套餐,,290,0,0,0,0,0,0,0,2025/02/02,Sunday,22:02
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,紅豆鮮奶茶,"少冰, 微糖",62,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,初鹿鮮奶茶,"去冰, 微糖",66,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,小農鮮奶茶,"去冰, 微糖",72,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,初鹿鮮奶茶,"微冰, 微糖, 加珍珠【如無大珍珠隨即換上小珍珠】",72,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,芋圓奶茶,"熱, 無糖",60,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,初鹿鮮奶茶,"去冰, 無糖",60,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
gwkw-2505-ydnh,叮哥茶飲 (東大門店),1月30日 週四 下午8:19,1,紅豆鮮奶茶,"熱, 少糖",72,0,0,0,0,0,0,0,2025/01/30,Thursday,20:19
lh4y-2505-l9sv,迷客夏 Milksha (臺東中華店),1月27日 週一 下午9:47,1,就是蜂蜜 拿鐵Honey Ruhuna Milk Tea,熱,100,0,0,0,0,0,0,0,2025/01/27,Monday,21:47
rioi-2505-lx7l,神仙滷味 (台東正氣總店),1月27日 週一 下午8:06,1,A餐,"不辣, 高麗菜【1份】",155,0,0,0,0,0,0,0,2025/01/27,Monday,20:06
rioi-2505-lx7l,神仙滷味 (台東正氣總店),1月27日 週一 下午8:06,1,秘傳滷肉飯,不辣,45,0,0,0,0,0,0,0,2025/01/27,Monday,20:06
r5in-2504-nxvl,胖老爹美式炸雞 (嘉義友愛店),1月26日 週日 下午11:33,1,【2號餐】,可樂,150,0,0,0,0,0,0,0,2025/01/26,Sunday,23:33
p3fv-2504-7j9h,四海脆皮臭豆腐,1月26日 週日 下午7:01,1,脆皮臭豆腐【大】,加辣,95,0,0,0,0,0,0,0,2025/01/26,Sunday,19:01
p3fv-2504-7j9h,四海脆皮臭豆腐,1月26日 週日 下午7:01,1,粉腸豬血湯,,45,0,0,0,0,0,0,0,2025/01/26,Sunday,19:01
p3fv-2504-7j9h,四海脆皮臭豆腐,1月26日 週日 下午7:01,1,脆皮臭豆腐【小】,"不加辣, 不加蒜頭",75,0,0,0,0,0,0,0,2025/01/26,Sunday,19:01
p3fv-2504-7j9h,四海脆皮臭豆腐,1月26日 週日 下午7:01,1,腸子湯,,45,0,0,0,0,0,0,0,2025/01/26,Sunday,19:01
mg20-2501-2al1,得正 OOLONG TEA PROJECT (永和得和計劃),1月1日 週三 下午12:33,1,雙柚金烏龍,"中杯, 微微糖, 去冰",65,0,0,0,0,0,0,0,2025/01/01,Wednesday,12:33
mg20-2501-2al1,得正 OOLONG TEA PROJECT (永和得和計劃),1月1日 週三 下午12:33,1,焙烏龍奶茶,"大杯, 微糖, 熱, 珍珠",65,0,0,0,0,0,0,0,2025/01/01,Wednesday,12:33
mg20-2501-2al1,得正 OOLONG TEA PROJECT (永和得和計劃),1月1日 週三 下午12:33,1,百香果綠茶,"中杯, 微微糖, 去冰",55,0,0,0,0,0,0,0,2025/01/01,Wednesday,12:33
l4xv-2452-3jh6,麥當勞 (S129 嘉義垂楊店),12月29日 週日 下午7:00,1,套餐-原味麥脆鷄腿 (2塊) Original Chicken McCrispy (2pcs) Meal,"薯條 (大) Fries (L), 檸檬風味紅茶(冰) (中) lemon flavored black tea(iced) (m), 無需加價購 no, thanks",217,0,0,0,0,0,0,0,2024/12/29,Sunday,19:00
l4xv-2452-3jh6,麥當勞 (S129 嘉義垂楊店),12月29日 週日 下午7:00,1,套餐-麥克鷄塊(6塊) Chicken McNuggets (6pcs) Meal,"原味麥脆鷄腿(1塊) (棒腿或大腿部位恕不指定、更換) Original Chicken McCrispy (1pc) (Drumsticks & thighs are distributed randomly), 玉米湯 (大) corn soup (l), 無需加價購 no, thanks, 醣醋醬包 sweet sour sauce",176,0,0,0,0,0,0,0,2024/12/29,Sunday,19:00
ovh5-2452-c9s7,潮味決．湯滷專門店 (台南金華分社),12月24日 週二 下午8:35,1,胖打熊貓豆腐套餐,"藥膳是經典【湯】, 豬肉片, 泡麵, 麻辣豆腐, ★豬肉片",250,0,0,0,0,0,0,0,2024/12/24,Tuesday,20:35
a6ye-2452-c6u8,胖老爹美式炸雞 (台南新興店),12月24日 週二 下午8:35,1,【2號餐】,雪碧小寶特瓶350ml,150,0,0,0,0,0,0,0,2024/12/24,Tuesday,20:35
